Ticker,Name,Business,Market,IPO,MarketCap,Sector
A,Agilent Technologies,環境、食品の品質・安全性等の化学分析を行うツールを開発、提供,NYSE,1999,"42,017.85",Healthcare
AA,Alcoa,アルミ原料を掘削する鉱山事業及び精練事業に従事,NYSE,1962,"7,240.13",Basic Materials
AAL,American Airlines Group,米国の航空会社,NASDAQ,2005,"15,585.61",Industrials
AAN,Aaron's Company,オフィスと住宅用家具のリース・販売会社,NYSE,2020,"1,300.05",Consumer Cyclical
AAOI,Applied Optoelectronics,通信機器や光ファイバーなどの光通信製品を設計、製造する半導体会社。,NASDAQ,2013,225.34,Technology
AAON,AAON,業務用屋上型エアコン、暖房・熱回収設備、エアコン用コイルの設計、製造、販売を手掛ける空調設備機器メーカー。,NASDAQ,1992,"3,371.10",Industrials
AAP,Advance Auto Parts,自動車用品の小売りチェーン,NYSE,2001,"12,579.71",Consumer Cyclical
AAPL,Apple,パソコン、コミュニケーション機器等の製造販売,NASDAQ,1980,"2,100,801.96",Technology
AAU,Almaden Minerals Ltd B,金・銀・銅の採掘および金の製造を手掛ける鉱山会社,NYSE American,2005,73.16,Basic Materials
AAWW,Atlas Air Worldwide Holdings,世界の主要航空会社に航空機、乗組員、商用・軍用機、整備、保険付き貨物航空機を提供持株会社。,NASDAQ,2005,"2,151.16",Industrials
ABBV,AbbVie,免疫や肝炎向けなどの薬品を開発・販売する製薬会社,NYSE,2013,"198,296.29",Healthcare
ABC,Amerisource Bergen,医薬品サービス会社,NYSE,1995,"23,934.22",Healthcare
ABCB,Ameris Bancorp,銀行子会社Ameris Bank（同行）を通じてバンキングサービスを小売と商業顧客へ提供している。,NASDAQ,1994,"3,936.72",Financial Services
ABCL,AbCellera Biologics Inc,抗体ベースでの医薬品開発に従事する、カナダのバイオテクノロジー企業,NASDAQ,2020,"7,035.95",Healthcare
ABEO,Abeona Therapeutics,臨床試験段階の医薬品を開発するバイオ医薬品メーカー。,NASDAQ,1980,167.38,Healthcare
ABG,Asbury Automotive Group,自動車販売会社,NYSE,2002,"3,560.17",Consumer Cyclical
ABIO,ARCA biopharma Inc,心血管疾患の遺伝子標的療法の開発を行っている米国のバイオ医薬品企業,NASDAQ,1997,51.44,Healthcare
ABM,ABM Industries,北米各地の都市で商工業・諸機関の顧客から空調、エンジニアリング施設サービス請負会社。,NYSE,1980,"3,331.67",Industrials
ABMD,ABIOMED,循環器医療機器メーカー。心臓鼓動機能の補助・代替テクノロジーを開発する。世界のヘルスケア専門家向けに製品とサービスを提供する。,NASDAQ,1987,"13,106.38",Healthcare
ABNB,Airbnb Inc,民泊仲介大手サイト運営会社,NASDAQ,2020,"93,068.23",Communication Services
ABT,Abbott Laboratories,ヘルスケア製品のメーカー,NYSE,1980,"193,610.51",Healthcare
ABTX,Allegiance Bancshares Inc,米国の銀行持株会社,NASDAQ,2015,821.04,Financial Services
ABUS,Arbutus Biopharma Corporation,バイオ製薬会社,NASDAQ,2007,286.65,Healthcare
ACA,Arcosa,貨物鉄道車両および鉄道車両リース・サービスの製造事業で構成されている、インフラ構築サービスを提供する会社。,NYSE,2018,"2,897.68",Industrials
ACAD,ACADIA Pharmaceuticals,中枢神経障害に対する小分子薬剤の発見、開発、販売に注力するバイオ医薬品会社。,NASDAQ,2004,"3,794.64",Healthcare
ACB,Aurora Cannabis Inc,カナダの医療用大麻メーカー,NASDAQ,2014,"1,822.38",Healthcare
ACBI,Atlantic Capital Bancshares Inc,米国の銀行持株会社,NASDAQ,2015,575.82,Financial Services
ACCD,Accolade Inc,ヘルスケア・福利厚生サポートサービスを提供,NASDAQ,2020,"2,986.90",Healthcare
ACCO,Acco Brands,ホチキス、スケジュール帳、シュレッダーなどを取り扱うオフィス用品メーカー。,NYSE,2005,860.38,Industrials
ACEL,Accel Entertainment Inc,GaaS（サービスとしてのゲーム）に従事しているゲーム会社。,NYSE,2017,"1,245.66",Consumer Cyclical
ACET,Adicet Bio Inc,米国のバイオ医薬品会社,NASDAQ,2018,390.19,Healthcare
ACGL,Arch Capital Group,バミューダの保険・金融サービス会社,NASDAQ,1995,"15,987.33",Financial Services
ACHC,Acadia Healthcare,精神病や薬物乱用患者などに行動障害ケアを行うヘルスケアサービス会社,NASDAQ,1994,"5,886.88",Healthcare
ACHV,Achieve Life Sciences,ニコチン依存症の患者のためのシスチンを使用した治療薬の開発および商品化に従事している医薬品メーカー。,NASDAQ,1995,53.2,Healthcare
ACI,Albertsons Cos Inc A,スーパーマーケットチェーン店,NYSE,2020,"9,409.59",Consumer Defensive
